[COMET X-RAY MEASUREMENT],,,,,,,,,,,,,,,,
Filename,,C:\CRData\16Feb2021-10-48.csv,,,,,,,,,,,,,,
Date,,16/02/2021,,,,,,,,,,,,,,
Chamber,,MEFAC ,,,,,,,,,,,,,,
Description,,Standard ratio measurement,,,,,,,,,,,,,,
Software,,S:\Medical_Rad\Radiotherapy\Ionizing Radiation\IRS Inhouse Software\Twin Weblines LEX and MEX\Twin Webline Comet v8_0-PRODUCTION.vi,,,,,,,,,,,,,,
Backgrounds,,90,,,,,,,,,,,,,,
Measurements,,30,,,,,,,,,,,,,,
Trolley (mm),,1090,,,,,,,,,,,,,,
SCD (mm),,1000,,,,,,,,,,,,,,
Aperture wheel,,2 CM,,,,,,,,,,,,,,
Comment,,MEFAC run,,,,,,,,,,,,,,
Monitor electrometer range,,Medium,,,,,,,,,,,,,,
Monitor HV,,300,,,,,,,,,,,,,,
MEFAC-IC electrometer range,,Medium,,,,,,,,,,,,,,
IC HV,,0,,,,,,,,,,,,,,
Client name,,ClientC_Name,,,,,,,Client identifier string,,,*this line may not be present in all files,,,,
Address 1,,555 Street Name,,,,,,,Address line 1,,,*this line may not be present in all files,,,,
Address 2,,Suburb ACT 1020,,,,,,,Address line 2,,,*this line may not be present in all files,,,,
Operator,,Chris Oliver,,,,,,,Who did the measurements,,,*this line may not be present in all files,,,,
CAL Number,,CAL00003,,,,,,,ARPANSA Job ID,,,*this line may not be present in all files,,,,
[DATA],,,,,,,,,,,,,,,,
kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,1,0,0,101.738,21.83297,21.618307,22.733904,61.723191,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,2,0.1,0,101.738,21.83297,21.618307,22.733904,61.723191,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,3,0.15,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,4,0.2,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,5,0.15,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,6,0.3,-0.15,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,7,0.2,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,8,0.25,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,9,0.2,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,10,0,0,101.742,21.82731,21.610392,22.730175,61.649412,MEFAC run
