kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment,,,,Filter,This is the beam identifier. Need this as part of main ID stuff in DB,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,23,-0.1,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,24,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,25,-0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,26,-0.1,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,27,-0.15,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,28,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,29,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,30,-0.1,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,31,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,32,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,33,-0.1,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,34,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,35,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,36,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,37,0.1,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,38,0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,39,0.15,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,40,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,41,-0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,42,0.15,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,43,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,44,0.1,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,45,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,46,0.2,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,47,0,0,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,48,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,49,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,50,0.25,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,51,0.15,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,52,0.15,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,53,0.25,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,54,0.1,0,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,55,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,56,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,57,0.15,0.003,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,58,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,59,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,60,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,61,0,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,62,-0.05,0.001,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,63,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,64,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,65,-0.1,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,66,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,FALSE,0,NXJ40,FALSE,TRUE,67,0,0.002,100.959,22.94381,23.087276,23.139477,45.105848,QA chamber measurement set 1,,,,,,,,,
